,Unnamed: 0,STEM.TAG,QUAD,SUBQUAD,X,Y,SPECIES,CENSUS,DIAM,ALIVE,coords.x1,coords.x2,x_trans,y_trans
156,485279,10026,113,42,18.97,245.57,TETBAL,6,32.3,A,265163.600391493,254422.8357231,202249.0658139995,2028340.1880114998
157,485296,12001,114,12,2.64,265.88,DACEXC,6,26.8,A,265147.36394202604,254443.122498745,202233.20320197026,2028360.7914117328
158,485300,12006,114,12,4.94,265.9,ANDINE,6,27.0,A,265149.660991463,254443.13781373898,202235.50174280797,2028360.763442817
159,485301,12007,114,12,4.11,267.99,DACEXC,6,30.2,A,265148.839501039,254445.223711955,202234.71913467452,2028362.8659156575
160,485310,12009,114,13,0.4,270.32,SLOBER,6,26.1,A,265145.142646098,254447.55474456897,202231.06427643762,2028365.2678426618
161,485312,12011,114,13,4.01,273.75,MANBID,6,34.2,A,265148.760079549,254450.968004277,202234.74793307728,2028368.6147125755
162,485319,12012,114,14,0.17,276.07,MANBID,6,21.9,A,265144.933359892,254453.28932619398,202230.96295921452,2028371.0093714881
163,485321,12014,114,14,2.42,278.43,FICTRI,6,64.4,A,265147.188781665,254455.638278816,202233.26383231528,2028373.3170465038
164,485341,12017,114,23,7.77,274.26,DACEXC,6,31.6,A,265152.516950379,254451.46902700898,202238.5162136589,2028369.0451925953
165,485342,12020,114,23,9.05,273.82,TETBAL,6,26.7,A,265153.793706881,254451.027665712,202239.7853203839,2028368.579537423
166,485362,12028,114,31,12.3,262.57,PSESPU,6,21.6,A,265156.999501471,254439.802195861,202242.78122957546,2028357.2877714944
167,485363,12030,114,31,10.71,264.59,ANDINE,6,30.2,A,265155.418760986,254441.81981725,202241.23768705578,2028359.3362410134
168,485379,72389,114,32,13.9,268.32,DACEXC,6,27.7,A,265158.617811155,254445.533093802,202244.5083952971,2028362.9911699363
169,485388,12038,114,34,13.74,275.3,SLOBER,6,22.6,A,265158.482799305,254452.494137292,202244.50450610893,2028369.9584023245
170,485421,12039,114,44,15.52,276.92,ANDINE,6,20.8,A,265160.266211638,254454.10607985698,202246.31923210464,2028371.5375771224
171,485424,72452,114,44,17.13,278.01,TETBAL,6,24.7,A,265161.877965883,254455.18982846898,202247.95225535455,2028372.5915166335
172,485434,12600,115,11,0.01,280.47,ZANMAR,6,33.1,A,265144.78918942896,254457.677495578,202230.90141641983,2028375.4025558191
173,485446,12605,115,13,4.67,294.59,MANBID,6,49.9,A,265149.49319137103,254471.749116193,202235.87308806117,2028389.3928885732
174,485466,12610,115,22,6.64,287.06,INGLAU,6,26.5,A,265151.43387296697,254464.235948363,202237.67318556883,2028381.8392110553
175,485467,12611,115,22,9.46,287.58,LAEPRO,6,37.6,A,265154.252014194,254464.74883564,202240.50246862887,2028382.2992536097
176,485475,12607,115,23,5.46,293.89,DACEXC,6,31.9,A,265150.27966863604,254471.04945935,202236.64679070964,2028388.6780426875
177,485476,12608,115,23,6.51,293.34,DACEXC,6,34.7,A,265151.326336811,254470.498864847,202237.68362986937,2028388.1074333964
178,485499,12618,115,33,14.81,290.17,MANBID,6,67.9,A,265159.604179896,254467.320912888,202245.90591212682,2028384.771805605
179,485515,12622,115,34,12.78,298.78,DACEXC,6,21.2,A,265157.607410961,254475.911218562,202244.0699989784,2028393.4042415267
180,485531,12617,115,42,15.15,288.42,INGLAU,6,25.6,A,265159.937520993,254465.57506194199,202246.20652381942,2028383.0187582267
181,485535,12629,115,42,18.96,286.87,TETBAL,6,21.6,A,265163.737013445,254464.021673694,202249.97872875223,2028381.3929480913
182,485536,12630,115,42,19.79,286.98,TETBAL,6,26.2,A,265164.56631354,254464.129699135,202250.81049892015,2028381.4854003452
183,485545,12625,115,43,17.95,293.13,MANBID,6,33.5,A,265162.750562367,254470.26641680603,202249.109455474,2028387.6595518424
184,485549,12624,115,44,15.53,297.96,DACEXC,6,36.6,A,265160.35088735,254475.08794779,202246.79939545383,2028392.5288334915
185,485573,13507,116,13,3.18,310.73,MANBID,6,26.6,A,265148.062443399,254487.847537212,202234.744998299,2028405.526703926
186,485593,72510,116,21,7.47,303.87,CECSCH,6,21.3,A,265152.322455561,254480.997848834,202238.87814443844,2028398.5931405064
187,485619,13518,116,31,11.51,301.16,DACEXC,6,29.6,A,265156.34752803104,254478.28720149898,202242.85423660965,2028395.8052133855
188,485623,72716,116,32,13.51,309.72,DACEXC,6,20.2,A,265158.37528730603,254486.819533116,202245.04386666918,2028404.3037946434
189,485633,13522,116,34,11.1,318.64,HOMRAC,6,34.1,A,265156.00011803897,254495.719747496,202242.83519721846,2028413.2534335563
190,485640,13531,116,41,18.71,301.49,TETBAL,6,23.9,A,265163.539240686,254478.60179686602,202250.05564337777,2028395.9844311734
191,485648,72669,116,41,16.77,302.72,CECSCH,6,25.2,A,265161.606155622,254479.832304745,202248.14473776153,2028397.2520160875
192,485660,13530,116,42,18.01,306.31,HOMRAC,6,30.3,A,265162.85727056896,254483.409893209,202249.46393457748,2028400.807897583
193,485668,13529,116,43,19.62,311.46,DACEXC,6,27.6,A,265164.483437206,254488.542428205,202251.187685684,2028405.912470891
